user_index,age,height_cm,weight_kg,bmi,fitness_level,activity_level,workout_time_min,goal,individual_ability,exercise_id,difficulty,impact_level,knee_flexion_level,hip_load_level,shoulder_overhead_required,wrist_weight_bearing,back_load_level,ankle_load_level,floor_required,single_leg,measurement_type,target_sets,target_reps,target_duration_seconds
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,march_in_place,1,0,1,1,0,0,0,1,0,0,time,1.528,,23.022
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,standing_knee_raise,2,0,1,1,0,0,0,1,0,0,reps,1.305,6.803,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,low_impact_jumping_jack,3,1,1,1,0,0,0,2,0,0,reps,1.084,5.818,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,bodyweight_squat,2,0,2,2,0,0,1,1,0,0,reps,1.11,5.936,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,reverse_lunge,3,0,2,2,0,0,1,2,0,1,reps,1.09,5.845,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,wall_sit,1,0,2,2,0,0,1,1,0,0,time,1.322,,19.402
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,side_leg_raise,2,0,1,1,0,0,0,1,0,1,reps,1.273,6.662,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,hamstring_curl,2,0,1,1,0,0,0,1,0,1,reps,1.277,6.68,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,hip_extension,2,0,1,2,0,0,1,1,0,1,reps,1.145,6.092,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,calf_raise,1,0,0,0,0,0,0,2,0,0,reps,1.579,8.023,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,wall_push_up,1,0,0,0,0,0,1,0,0,0,reps,1.638,8.286,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,knee_push_up,3,0,0,0,0,1,1,0,1,0,reps,1.191,6.298,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,standard_push_up,4,0,0,0,0,1,2,0,1,0,reps,1.083,5.813,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,plank,3,0,0,0,0,1,2,0,1,0,time,1.136,,16.144
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,glute_bridge,2,0,0,2,0,0,1,0,1,0,reps,1.297,6.769,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,shoulder_press,3,0,0,0,1,0,1,0,0,0,reps,1.197,6.322,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,biceps_curl,3,0,0,0,0,0,1,0,0,0,reps,1.249,6.556,
0,58,155.0,93.2,38.79,2,2,20,strength,0.8807,sit_to_stand,1,0,2,2,0,0,1,1,0,0,reps,1.321,6.877,
1,31,193.1,66.9,17.94,1,4,15,endurance,1.1042,march_in_place,1,0,1,1,0,0,0,1,0,0,time,1.861,,28.866
1,31,193.1,66.9,17.94,1,4,15,endurance,1.1042,standing_knee_raise,2,0,1,1,0,0,0,1,0,0,reps,1.68,8.476,
